sentiment,content
anger,fuckin'm transtelecom
anger,Working   But it's Fridaaaayyyyy
anger,Packing  I don't like it..
anger,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
anger,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
anger,@LouGagliardi  damned hordies
anger,"@bcollinstattoo yes, boo for soar throats and earaches!"
anger,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
anger,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
anger,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
anger,lost all my files since high school.
anger,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
anger,i never knew a dentention was so hard 2 get
anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
anger,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
anger,"@LeahMul awh, thats not good,   get better soon!"
anger,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
anger,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
anger,Confuzzled
anger,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
anger,@eboogiee smh Your whin with that comment
anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
anger,@mashable Link to ff &quot;how it works&quot; is broke!
anger,aaaaaaaaaaa McFly
anger,Shout out to my moms for wakin me up so prematurely! Preciate it
anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
anger,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
anger,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
anger,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
anger,@BigCatJared   What did I do to you!  sheesh
anger,studying for this bullshit econ test
anger,Internet is painfully slow today
anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
anger,MOtherfuck QW
anger,No gas PLUS no money = Desperation!!!   and that's the word of the day!  http://twitpic.com/66zls
anger,Very bad things.......I need to stop thinking!
anger,@anz_rocks19  i have to break the twitterparty... im off home soon
anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
anger,"It's so annoying when I want to go see The Sats, @OfficialJoBros and @ddlovato in concert..but I know I'LL Have to pay"
anger,i hella wanted a sausage mcmuffin but when i gt there breakfast was over
anger,#twitterfails fucking hard right now...this is annoying
anger,im writing an exam on a SATURDAY  that should be illegal  where's my weekend?
anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
anger,bout to go to work with a wicked sunburn on the chest.
anger,"Wow, I'm really bored... and pissed I left my library card when I had to take the Booky Wook back..."
anger,@kristanmarie at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me
anger,"Grabbing a snack and a drink at chili's, but the power just went out. Before I got my food!"
anger,@playspymaster I want an invite - sick of seeing all these links for people playing and being left out
anger,#thingsmummysaid my mummy told me she never wnted to be my mummy ever again  so i live wid my dad i think ?? it all confusing
anger,@tommcfly Why do you not respond me?
anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
anger,People at work are stressing me out.
anger,@FafsaHelp i don't know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.
anger,Wish my headache/almost migraine would go away!
anger,"Gah, I sprained my LEFT ankle... Just after I got over the torn ligament for my right foot. Looks like it's back to walking with a cane"
anger,My throat is on fire
anger,sam and sean are teasing me saying they are gonna get wings without me
anger,never does  anything good school and rabbit it my life cycle dunno how to tune a giutar so i am stuffed
anger,@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!
anger,Gah! I left my glasses at work and reading is giving me a headache.  I can't believe how much I need them these days.  Old age.
anger,"And you could have it all, my empire of dirt! I'm in a&amp;e with dad I'm freezing fully shivering Every1 else is warm  no fones allowed ffs!"
anger,@porcelain_baby @Christomopher your not talking about your obsession with me right???
anger,@JennyTaylor94  yer it is...poor little cock  but she well doesnt deserve the stick off everyone! cowell once again going against producer
anger,"Had a shower. it's 5:55 PM. Triple 5's! Crap, it just turned 5:56"
anger,@ACMcWhale I always feel guilty about it
anger,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really
anger,"@natss91 kill me as soon as you get here ,ok? my sister is having a sleepover tonight  and her obnoxious friends are driving me insane"
anger,rught brb on me ipod. if i randomly go off its cos me internet breaks
anger,at famous dave's with my mom. so hungry.
anger,"@maddsie Thanks, none close to me."
anger,I am beginning to think sun blcok is a haox.
anger,Just found out my parents are putting down my dog tomorrow morning. Upset
anger,Apperently ea knows my copy of the sims 3 is not legit and is upset
anger,FUCK. slept in
anger,"my sisters fucking pc, just blued screened me"
anger,"@PENLDN just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha"
anger,too sick for rigging tomorrow.
anger,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
anger,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn't the weather know this is California?
anger,finally home for once after a dope ass week
anger,@eminem http://twitpic.com/4j585 - Guess I need to get me an iPhone now for sure!!!  It looks bad ass!!
anger,@paulmoxham everything is your fault moxy...everything.   x
anger,finally getting sleepy right when the sky brightens ... figures! G'nimorning
anger,is downloading new fonts . again  http://plurk.com/p/rplkr
anger,"So, what's so great bout your so called 'wonderful love life'?  For god sake, W-A-T-E-V-A!"
anger,@stevebiddle I used to be - but that was a while ago now - your argument is pretty sound for a trolley pusher
anger,Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww
anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
anger,@iaindodsworth Told you that when you got rid of the last one. Did you listen
anger,"wakey wakey lemon shakeyyyy!  haha, goin' 2 schooliooo!  it's raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???"
anger,"@olafsearson Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx"
anger,@taylorswift13 jet lag must be soo annoyingg! im in uk timee  welcome to ukkkkk  are u coming to scotland at all  ? xxxx
anger,knows its all going to sort itself out
anger,omg! goooood ass nappy nap  jusss woke up bout 2 clean up a lil then get ready
anger,@rockchick0125 yup!  Now I can join in on the nin access fun!
enthusiasm,wants to hang out with friends SOON!
enthusiasm,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to"
enthusiasm,I want another tatt
enthusiasm,"So, I need to make a lot of money tomorrow"
enthusiasm,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun
enthusiasm,one week till exam block
enthusiasm,@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting
enthusiasm,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy
enthusiasm,Counting the minutes when my dad's g-friend is leaving
enthusiasm,@leopardqueen @seekinspiration Have fun! I miss you guys a lot!
enthusiasm,I am going to die tomorrow night.  @emilazy should be here.
enthusiasm,"@drewseeley hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there"
enthusiasm,boring. i wanna go for taekwando
enthusiasm,Watching Leno for the second to last time on the Tonight Show
enthusiasm,Only one more day of Jay Leno  que sad!
enthusiasm,Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep
enthusiasm,i want candy!!!
enthusiasm,Dying to get my hands on the Diagnosis Murder DVD boxset but those pesky kids at Amazon still won't deliver to Zimbabwe
enthusiasm,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit
enthusiasm,"Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7"
enthusiasm,"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON'T QUIT! It's not worth it"
enthusiasm,@ScottRhodie I wanna be drinking at the pub
enthusiasm,"Up early this morning, first to portmeirion then home"
enthusiasm,"Getting ready for work and the sun is shining, plus it's the w/e! Bgt tonight..... what am I gonna do after it's finished?!"
enthusiasm,@gnoserif FANTASTIC IDEA.. you the man! but I'll end up all lonely when the tourist goes home
enthusiasm,@JustcallmeMac your making me jealous now  I want one! How long have u guys been married?
enthusiasm,can't tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn't cover it.  urgh
enthusiasm,@katieclair88 You guys didn't call or come over  Did we do something?! Def. give us a call tomorrow and hang out with us chick!!
enthusiasm,Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs
enthusiasm,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.
enthusiasm,"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!"
enthusiasm,I Need to get my friggin cameras cleand ASAP !!
enthusiasm,"At work   leave for Berlin at 17:00 by car, will be a late arrival"
enthusiasm,"@ubuntugeeks good morning to you!  No wait, its evening.  You still have a whole day of work to go before the weekend!"
enthusiasm,"ahhhhh, I am falling asleep here, there is no way I'll be able to survive Liverpool   Although, I can't wait to have my Nan's food."
enthusiasm,@Melissa808 nah im pooped from moving 2day im just laying down relaxing  lol
enthusiasm,I'm missing crab legs and attending my going away instead!
enthusiasm,UP was awesome! Everyone should go see it.  But the stupid theatre didn't show the Pixar short film.
enthusiasm,I WANT LASAGNA TOOOOOOO.
enthusiasm,company is offering 2nd round of VSS RIF!
enthusiasm,Looking for photo inspiration. But everything I want to do required more space than I have
enthusiasm,@sotongs Sigh
enthusiasm,waiting for PRINCES PROTECTION PROGRAM online in English version  so long
enthusiasm,http://bit.ly/Wl9yL  i want to go here
enthusiasm,Anyone up this te of night? The tweets have slowed down  let me know ur out there and I'll follow u
enthusiasm,im going to work
enthusiasm,i miss justin timberlake's voice. i want him to make new album again
enthusiasm,@herojaejoong Feel hungry now   Cook for me pleaseYour food it's my energy to work~
enthusiasm,well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it's worth the wait!
enthusiasm,@nzclothnappy we can all but hope... georgia is still wide awake and has the hiccups
enthusiasm,"@edziardo : Hi, there! I'm sorry for not telling you  Let's meet up! With @yayi_meirizka too. You promised to treat us! XD"
enthusiasm,"@FuschiaFoot sold, so i hit cash and just took the tax out of my tips. but then my drawer ended up being 5 dollars short  idk if its cause"
enthusiasm,"Duuuude, Tim said that they're making a Red vs Blue animated series! It'll be either on Adult Swim or G4. I hope AS, coz I don't have G4!"
enthusiasm,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..
enthusiasm,"@garrulous_gal of course! *cough* I mean, no, 1.5 hours extra testing and debugging time"
enthusiasm,had to take my baby to the vet again today
enthusiasm,Dubai!!! Still trying to settle down
enthusiasm,I really want a camera!
enthusiasm,Going to the Chiro to see what is wrong with my bum ankle.
enthusiasm,@Hilareeee But...but...I'm not!
enthusiasm,Need to buy a bluetooth device for machine
enthusiasm,The JBs love to keep secrets!  'Oooooh!'
enthusiasm,@MelzieC I saw the show listing and saw it was on a Wednesday!!!!
enthusiasm,"@capitaln Um...no  We will most likely be inside a lot, maybe the skirt will work!"
enthusiasm,"I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!"
enthusiasm,i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!
enthusiasm,"@KatMeyer Hey, is the #beatweetup badge required for tonight? Just realized I left mine at home!"
enthusiasm,I WANT A GARDEN  sitting inside when it's sunny sucks.
enthusiasm,fcuk! ayoko na!! I said that in tagalog cuz idk what to do anymore!
enthusiasm,@umphreysmcgee Great Podcast!  I wish you guys had more Chi shows this summer.  The only times I will see you will be at Alpine
enthusiasm,"@yvetterdz84 nah, he won't  but I will sit here and enjoy the view :-P"
enthusiasm,@Katiekins08 I want to SOOOOOOO BAD!!!
enthusiasm,@orangelight because the one I was having at that moment woke me up.
enthusiasm,at work  then back to my baby's house
enthusiasm,"Visit 2  La Ventana de los Cielos foundation was pushed bck 2 weeks,  was so excited 2 go &amp; meet the kids. I'll have 2 wait another 2 wks"
enthusiasm,@epiphanygirl Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrong  It's all good. Thanks for #FF love
enthusiasm,It's Friday!!!!....and the sun is out....but I'm working inside.
enthusiasm,Just got up. Need to leave for class in a hour.
enthusiasm,@JanaiChristian While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!
enthusiasm,"Just been out to try to catch a swarm, gone into a roof gable end   Set up a bait hive an hoping for the best at the moment"
enthusiasm,@DisneyLuis Aww what happened?
enthusiasm,"@jodiekearns I'm there all weekend, expecting it to be way too hot"
